    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
0.62625000000E-01   0.62625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.88608617915E-02    0.0000000000        0.0000000000       -7.9813245634       -7.9691860385       -7.9691860385        1.8412134216        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.26904686618E-01    4.2000000000       -4.4390980816       0.96528230389        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.53280581676E-01    0.0000000000        0.0000000000       -.58640734610E-02   -.47046411590E-03   -.47046411590E-03   0.13793047793E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.68875000000E-01   0.68875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.11839168975E-01    0.0000000000        0.0000000000       -6.6047606750       -6.6037587418       -6.6037587418        1.2500272543        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.32367474909E-01    4.2000000000       -3.4223191842       0.95684816424        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.39030422431E-01    0.0000000000        0.0000000000       -.65795072019E-02   -.11769023577E-02   -.11769023577E-02   0.19857920654E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.75125000000E-01   0.75125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.14228414861E-01    0.0000000000        0.0000000000       -5.4694937092       -5.4694265586       -5.4694265586       0.91540416166        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.37113391290E-01    4.2000000000       -2.7300568336       0.95000153975        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.33924815307E-01    0.0000000000        0.0000000000       -.71621689713E-02   -.17588842125E-02   -.17588842125E-02   0.24515971801E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.81375000000E-01   0.81375000000E-01    0.0000000000        0.0000000000        0.0000000000       0.16998180420E-01    0.0000000000        0.0000000000       -4.5004653069       -4.5004624708       -4.5004624708       0.59602983351        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.42504293893E-01    4.2000000000       -2.1119522979       0.94230825893        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.27571368774E-01    0.0000000000        0.0000000000       -.77248306857E-02   -.23214881927E-02   -.23214881927E-02   0.28756807891E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.87625000000E-01   0.87625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.20109162756E-01    0.0000000000        0.0000000000       -3.7844898142       -3.7844897186       -3.7844897186       0.37471301555        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.47404588855E-01    4.2000000000       -1.6724094988       0.93532146254        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.79685090429        0.0000000000        0.0000000000       -.82126345540E-02   -.28092894332E-02   -.28092894332E-02   0.32189552330E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.93875000000E-01   0.93875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.23650574894E-01    0.0000000000        0.0000000000       -3.3209057601       -3.3209057562       -3.3209057562       0.25617938511        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.50982822352E-01    4.2000000000       -1.4103999674       0.93021998171        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.57701245010        0.0000000000        0.0000000000       -.87008736291E-02   -.32975283731E-02   -.32975283731E-02   0.35433656374E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.10012500000       0.10012500000        0.0000000000        0.0000000000        0.0000000000       0.27221454018E-01    0.0000000000        0.0000000000       -2.9666267461       -2.9666267459       -2.9666267459       0.20317570590        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.53679159407E-01    4.2000000000       -1.2404526165       0.92637583671        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.56997267857        0.0000000000        0.0000000000       -.91822671758E-02   -.37789219128E-02   -.37789219128E-02   0.38554517097E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.10637500000       0.10637500000        0.0000000000        0.0000000000        0.0000000000       0.30607652172E-01    0.0000000000        0.0000000000       -2.6871383903       -2.6871383903       -2.6871383903       0.17166240705        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.55929142400E-01    4.2000000000       -1.1144202105       0.92316805612        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.55614686735        0.0000000000        0.0000000000       -.96362256225E-02   -.42328803591E-02   -.42328803591E-02   0.41464889170E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.11262500000       0.11262500000        0.0000000000        0.0000000000        0.0000000000       0.33834054420E-01    0.0000000000        0.0000000000       -2.4724368575       -2.4724368575       -2.4724368575       0.14677842798        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.57848885756E-01    4.2000000000       -1.0170618474       0.92043109528        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.55560952557        0.0000000000        0.0000000000       -.10066923425E-01   -.46635781613E-02   -.46635781613E-02   0.44204302011E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.11887500000       0.11887500000        0.0000000000        0.0000000000        0.0000000000       0.37206438178E-01    0.0000000000        0.0000000000       -2.2228254032       -2.2228254032       -2.2228254032       0.12713123144        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.60161535035E-01    4.2000000000       -.91100378461       0.91713397200        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.56818547736        0.0000000000        0.0000000000       -.10521679060E-01   -.51183337964E-02   -.51183337964E-02   0.47092623258E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.12512500000       0.12512500000        0.0000000000        0.0000000000        0.0000000000       0.40524390141E-01    0.0000000000        0.0000000000       -2.0105034979       -2.0105034979       -2.0105034979       0.10644614283        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.62430867285E-01    4.2000000000       -.81769026122       0.91389860543        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.54081915204        0.0000000000        0.0000000000       -.10969713882E-01   -.55663686189E-02   -.55663686189E-02   0.49924670001E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.13137500000       0.13137500000        0.0000000000        0.0000000000        0.0000000000       0.43732937029E-01    0.0000000000        0.0000000000       -1.8283171896       -1.8283171896       -1.8283171896       0.88423928445E-01    0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.64601442280E-01    4.2000000000       -.73739440409       0.91080403619        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.51906312086        0.0000000000        0.0000000000       -.11402749511E-01   -.59994042477E-02   -.59994042477E-02   0.52650388439E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.13762500000       0.13762500000        0.0000000000        0.0000000000        0.0000000000       0.46847221053E-01    0.0000000000        0.0000000000       -1.6569310210       -1.6569310210       -1.6569310210       0.76992461886E-01    0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.66737964742E-01    4.2000000000       -.66606264802       0.90775801533        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.50355821955        0.0000000000        0.0000000000       -.11823220619E-01   -.64198753557E-02   -.64198753557E-02   0.55288816327E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.14387500000       0.14387500000        0.0000000000        0.0000000000        0.0000000000       0.49980711709E-01    0.0000000000        0.0000000000       -1.4794696920       -1.4794696920       -1.4794696920       0.61625170413E-01    0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.69303032048E-01    4.2000000000       -.58947815947       0.90410102195        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.48526741925        0.0000000000        0.0000000000       -.12250707089E-01   -.68473618253E-02   -.68473618253E-02   0.57971207072E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
