ep1,epV,p,q,e,pimg / p,pmx / p,psi,Dp,eta
0.371899225,0.017763302,322.3515613,189.1808889,0.852974623,0.574575945,0.789505978,0.098689341,0.736077501,0.586877533
0.378210782,0.01803072,319.6769026,189.7178985,0.852969667,0.577437525,0.789680181,0.098509776,0.729467724,0.593467645
0.38449026,0.018294937,317.0342616,190.1980009,0.85296477,0.580255602,0.789857744,0.098330936,0.722993151,0.599928853
0.390738854,0.018556019,314.4229584,190.6236676,0.852959932,0.583031166,0.790038554,0.098152802,0.716649589,0.606265104
0.396957706,0.018814034,311.8423346,190.9972505,0.85295515,0.585765177,0.790222505,0.097975356,0.710433023,0.612480184
0.403147906,0.019069044,309.2917526,191.3209884,0.852950424,0.588458566,0.790409497,0.097798581,0.704339599,0.618577724
0.409310495,0.019321112,306.7705945,191.5970138,0.852945752,0.591112235,0.790599433,0.097622459,0.698365624,0.62456121
0.415446469,0.019570297,304.2782616,191.8273584,0.852941134,0.593727064,0.79079222,0.097446974,0.692507552,0.63043399
0.42155678,0.019816658,301.8141731,192.0139594,0.852936568,0.596303903,0.790987771,0.09727211,0.686761977,0.636199279
0.42764234,0.02006025,299.3777661,192.1586639,0.852932054,0.598843579,0.791186,0.097097852,0.681125627,0.64186017
0.433704021,0.020301129,296.9684943,192.2632344,0.852927589,0.601346898,0.791386828,0.096924183,0.675595359,0.647419636
0.439742659,0.020539347,294.5858277,192.3293532,0.852923174,0.603814639,0.791590177,0.09675109,0.670168149,0.652880536
0.445759055,0.020774956,292.2292516,192.3586264,0.852918808,0.606247563,0.791795974,0.096578557,0.664841089,0.658245625
0.451753976,0.021008006,289.8982663,192.3525884,0.852914489,0.608646407,0.792004148,0.09640657,0.659611378,0.663517553
0.457728157,0.021238546,287.5923867,192.3127053,0.852910216,0.61101189,0.792214633,0.096235116,0.654476322,0.668698875
0.463682306,0.021466622,285.3111411,192.2403786,0.852905989,0.613344709,0.792427362,0.096064181,0.649433326,0.67379205
0.469617097,0.021692281,283.0540715,192.1369484,0.852901807,0.615645545,0.792642275,0.095893752,0.644479887,0.678799451
0.475533183,0.021915566,280.8207325,192.0036969,0.852897669,0.617915059,0.792859312,0.095723816,0.639613594,0.683723368
0.481431187,0.022136522,278.6106909,191.8418507,0.852893574,0.620153894,0.793078416,0.095554361,0.634832122,0.688566006
0.487311708,0.02235519,276.4235257,191.6525841,0.852889521,0.622362677,0.793299532,0.095385374,0.630133227,0.693329497
0.493175323,0.022571611,274.2588271,191.4370216,0.85288551,0.624542019,0.793522609,0.095216844,0.625514745,0.698015898
0.499022586,0.022785826,272.1161964,191.1962401,0.85288154,0.626692513,0.793747597,0.095048758,0.620974587,0.702627196
0.504854029,0.022997873,269.9952458,190.9312717,0.852877611,0.628814739,0.793974447,0.094881106,0.616510732,0.70716531
0.510670165,0.023207789,267.8955974,190.6431053,0.85287372,0.630909261,0.794203112,0.094713875,0.612121233,0.711632095
0.516471485,0.023415612,265.8168836,190.3326891,0.852869869,0.632976629,0.79443355,0.094547056,0.607804205,0.716029345
0.522258465,0.023621378,263.7587461,190.0009324,0.852866055,0.635017379,0.794665717,0.094380637,0.603557826,0.720358794
0.528031561,0.023825121,261.720836,189.6487073,0.852862279,0.637032034,0.794899572,0.094214608,0.599380335,0.724622121
0.533791212,0.024026875,259.7028134,189.2768509,0.85285854,0.639021102,0.795135076,0.094048959,0.595270029,0.728820949
0.539537842,0.024226674,257.7043469,188.8861662,0.852854837,0.640985081,0.795372191,0.09388368,0.591225258,0.73295685
0.54527186,0.024424549,255.7251136,188.4774245,0.85285117,0.642924457,0.795610882,0.09371876,0.587244428,0.737031345
0.550993657,0.024620533,253.7647986,188.0513662,0.852847538,0.644839701,0.795851113,0.093554191,0.583325994,0.74104591
0.556703615,0.024814655,251.823095,187.6087024,0.85284394,0.646731275,0.796092851,0.093389962,0.579468459,0.745001972
0.562402097,0.025006947,249.8997031,187.1501166,0.852840376,0.64859963,0.796336063,0.093226065,0.575670374,0.748900916
0.568089457,0.025197436,247.994331,186.6762653,0.852836846,0.650445206,0.79658072,0.093062491,0.571930335,0.752744083
0.573766035,0.025386152,246.1066935,186.1877796,0.852833348,0.652268431,0.79682679,0.09289923,0.56824698,0.756532774
0.57943216,0.025573123,244.2365126,185.6852664,0.852829883,0.654069726,0.797074246,0.092736273,0.56461899,0.760268252
0.585088147,0.025758375,242.3835166,185.1693091,0.85282645,0.655849498,0.797323059,0.092573613,0.561045084,0.763951739
0.590734304,0.025941936,240.5474406,184.640469,0.852823048,0.657608149,0.797573204,0.092411241,0.557524022,0.767584425
0.596370925,0.02612383,238.7280258,184.0992859,0.852819677,0.659346069,0.797824654,0.092249149,0.554054599,0.771167463
0.601998297,0.026304083,236.9250194,183.5462795,0.852816336,0.661063639,0.798077386,0.092087328,0.550635645,0.774701971
0.607616694,0.026482721,235.1381745,182.9819497,0.852813026,0.662761232,0.798331376,0.091925771,0.547266025,0.778189038
0.613226383,0.026659766,233.3672501,182.406778,0.852809745,0.664439213,0.798586601,0.091764469,0.543944637,0.781629718
0.618827622,0.026835244,231.6120103,181.8212276,0.852806492,0.666097939,0.798843039,0.091603415,0.540670411,0.78502504
0.624420661,0.027009175,229.8722251,181.2257449,0.852803269,0.667737757,0.799100669,0.091442602,0.537442307,0.788375998
0.630005739,0.027181584,228.1476693,180.6207599,0.852800074,0.669359008,0.799359471,0.091282023,0.534259314,0.791683564
0.635583089,0.027352493,226.4381229,180.0066866,0.852796906,0.670962025,0.799619425,0.091121669,0.531120451,0.794948678
0.641152938,0.027521921,224.7433709,179.3839239,0.852793766,0.672547134,0.799880513,0.090961533,0.528024762,0.798172259
0.646715503,0.027689892,223.0632029,178.7528566,0.852790653,0.674114654,0.800142717,0.09080161,0.52497132,0.801355196
0.652270995,0.027856425,221.3974131,178.1138551,0.852787567,0.675664896,0.800406018,0.090641891,0.521959221,0.804498357
